ar	2
br	2
ca	1
cnh	100
cs	100
cv	2
cy	100
de	2
el	2
eo	100
es	1
et	100
eu	2
fa	2
fr	2
fy	100
ga	2
gn	0
ha	1
id	2
it	100
ky	2
lt	2
lv	2
mn	100
mt	100
nl	100
pl	2
pt	100
rm	2
ro	100
ru	2
rw	100
sah	2
sk	100
sl	100
sv	100
tr	1
tt	100
uk	100
vi	1
